label,sentence
0,Dostatečně velký zásobník na vodu i kávu. Nastavitelná výška na hrnky až 14 cm
0,"Krásně čistí koberce včetně čalounění. Dobře vysává a dokonce vytírá podlahy. Celkem čistí i spáry mezi dlaždičkami. Obrovskou výhodou je čištění teplou vodou, které je lepší než čištění s profesionálním extraktorem. Jednoduché čištění stroje po jeho použití"
0,"Maximální spokojenost, výkonnost supr"
1,"Zatím nevím, mám ho krátce"
1,"Je slyšet, ale neni to nic dramatického"
1,Nevýhodou je hůře dostupná nádržka na tekutý prací prostředek a špatně viditelné označení  maximální hodnoty tekutého pracího
0,Rozměrově se mi velmi hodí do malého prostoru
1,Nema display jen ledky. Černobílý návod kde na obrazkach není nic vidět takže změna otevírání dveří byl porod
0,"Vysoká kvalita, snadná údržba, velmi dobrá cena"
0,Přesně splňuje můj požadavek na malou lednici
1,"Vypadá veliký, ale přesto nezabere více místa jako normální vysavače, a přesto je s ním díky všem otočným kolečkům 100 krát lepší manipulace, než s ostatními vysavači"
0,Vejde se do místa pod linkou
1,"Uvítala bych automatické pročištění přístroje po každém zapnutí. u tohoto typu musí být čištění provedeno ručně, ale dá se na to zvyknout"
1,Nedá se pověsit na zeď
1,Při hnětení zůstává část surovin na dně a po stranách mísy. Samotný ruční šlehač špatně stojí ve vzpřímené poloze proto se metlami musí opřít o plochu
1,"Při používání smrdí, ale to prý každý kenwood. Pokud chcete něco 'složitějšího' než smoothie, zvolil bych mixér!. Taková levná konstrukce, chvílema si myslím, že musí každou chvíli vybouchnout, tak ho radši moc nežhavím :) nicméně celá rodina už 'smoothiuje' a zatím drží :)"
0,Lehký bezdrátový příruční vysavač
1,Pro manželku dost těžký-pronese se
0,Šlehací metly jsou z drátů (ne z plochých plíšků) = šlehání je účinnější
1,Oproti starší verzi nemá horní polička na dveřích víčko
0,Vysávání sáčkové (využívám při broušení) i do nádoby
0,Malý a skladný s výkonem
1,Nekvalitní přípojka na vodu. hadice na odvod vody z pračky není opatřena žádnou koncovkou. doba pracích programů se nedá zkrátit. u rychlého programu se dá nastavit teplota vody maximálně na 40 stupňů
0,"Vlastním přístroj půl roku,spokojenost"
0,"Vysává i velmi jemný prach, vodu. lze jej používat i na vytírání, popř. praní koberců (zatím nezkoušeno)"
0,"Velmi snadná obsluha, perfektní spracování, vynikajicí kvalita kávy"
0,"Velmi tichý, výborné sání, lehký, pěkný design, ergonomický"
1,U dřívějšího typu lednice mohlo být kvalitnější plastové vybavení - šuplíky a poličky
1,Relativně malý prostor mrazničky
1,"Lednici mám krátkou dobu, neumím posoudit"
0,Dobrá cena a výhoda více lahví
