	text	predicted_label	confidence	actual_label
0	Ale uz ted se s ni stala ma vyborna kamaradka :).	1	0.990	0
1	Je to můj třetí kávovar a je na začátku v provozu.	1	0.886	0
2	Bleskové řešení problému (poškozené zboží dopravcem).	1	0.993	0
3	Povrch je lesklý a působí čistě.	1	0.995	0
4	Do této doby jsem nebyla schopna pozřít syrové ovoce a zeleninu.	1	0.985	0
5	Nepřejedou ani přes vlastní elektrickou šňůru.	0	0.990	1
6	Dveřní celoplastové zábrany (ne jen lišta!).	1	0.996	0
7	Indikator pro nutnost vycistit filtr.	1	0.996	0
8	Prostě jen vkuse pár hodin chladí a je v provozu.	1	0.995	0
9	Jen s napětím očekávám životnost baterie.	1	0.995	0
10	O rozích ani nemluvím.	0	0.997	1
11	Ledna a stále se obchod 'kasa' nehlásí.	0	0.996	1
12	Kdo lpí na značce - je to úplně stejný výrobek jako eta.	1	0.975	0
13	Proudu jen 114 kw ročně.	1	0.995	0
14	Zabalit výrobek a předat dopravci.	0	0.988	1
15	Že s touto pračkou nikdo neprohloupí:).	1	0.984	0
16	Oťukané (lehce pomačkané) už z výroby kdy rychle nabouchali poličky do lednice a pryč s ní.	0	0.997	1
17	Dveře se snadno ušpiní od otisků rukou.	0	0.994	1
18	Krátká přívodní hadice na vodu.	0	0.994	1
19	Červený přívodní kabel (u černého modelu).	0	0.998	1
20	Ale je to dobrý.	1	0.958	0
21	Jak popisují ostatní uživatelé.	1	0.992	0
22	Kterou bude možné vyměnit.	1	0.995	0
23	Které vůbec nebyly uvedeny v nabídce.	1	0.980	0
24	Ktery jsem obratem odeslal zpet.	0	0.964	1
25	Zaplatil jsem 1031 kč (nikdy už nedostanu zpět).	0	0.990	1
26	Osvětlení na vysávací hadici se zdá zprvu jako hloupost.	1	0.996	0
27	Lednička je jak z papíru(oplechování).	0	0.547	1
28	Píská několikát a v několika intervalech.	0	0.839	1
29	Že nebude jako ty profi z půjčovny.	1	0.742	0
30	Velké chvění při výdeji kávy.	0	0.999	1
31	V zásobníku zůstávají celkem velké zbytky pracího prášku.	0	0.987	1
32	Nádobka je hluboká a pro čištění méně dostupná.	0	0.997	1
33	Že baterie nějakou dobu vydrží.	0	0.944	1
34	Spousta možností volby programu dle individuální potřeby.	1	0.990	0
35	I když je nedostatek kávy nebo vody.	0	0.984	1
36	Odložený start a pod.	1	0.996	0
37	Množství výměnných hubic na různá použití.	1	0.947	0
38	Ale musím říct že naplnilo veškere očekávaní i mnohem víc.	1	0.964	0
39	Cyklon pojme méně prachu než sáček sáčkového vysavače.	0	0.998	1
40	Ale bohužel po 6 dnech mi odešel termostat.	1	0.993	0
41	Ale prádlo je opravdu čisté a voňavé.	0	0.990	1
42	Vnitřní prostory ledničky nejsou viditelně redukovány.	1	0.996	0
43	Pokud pijete u někoho na návštěvě rozpustné štve vás že tam není s váma :d váš kávovar.	0	0.973	1
44	Jestli ho chceme použít jako ledničku nebo jako mrazák.	1	0.730	0
45	Ani při dlouhodobém provozu 15 - 20 minut nebyl cítit žádný zápach a nedošlo k rozpojení tepelné pojistky.	1	0.997	0
46	Při velkém sacím výkonu (400w).	1	0.976	0
47	Nabíjí se jako mobil.	1	0.978	0
48	České popisky (ne že by byly nutné.	1	0.994	0
49	Ale asi záleží na druhu kávy.	1	0.995	0
50	Které ani nepoužijete a které nepůsobí kvalitně.	0	0.996	1
51	Mletí kávy těsně před přípravou.	1	0.927	0
52	Ktere navic jdou manualne prednastavit.	1	0.995	0
53	Nepouštím ani na 100% a mám potíže s ním hýbat po koberci.	1	0.964	0
54	Sľúbené dodať český prelep :-).	0	0.886	1
55	Indikátor teploty (černé kolečko v chladničce.	0	0.998	1
56	Bohuzel se nekde privod vody oddelil a voda vyteka ven misto do hrnicku.	0	0.985	1
57	Konstrukce odpovídající spíše průmyslovým lednicím.	1	0.993	0
58	Ked nieco zabudnem tak info sa opakuje dokola.	1	0.996	0
59	Utratím víc za nákup :).	0	0.993	1
60	Dal jsem mu nakonec přednost před vitamixem.	1	0.989	0
61	Pro někoho může být nevýhodou poněkud vyšší váha odnímatelného ručního vysavače.	0	0.991	1
62	Je to prakticky celoplastovy vyrobek asi az na privodni snuru a motor.	0	0.994	1
63	Že je krátká hadice.	1	0.996	0
64	Díky tenkým stěnám je uvnitř obří.	1	0.993	0
65	Tak má mixér velký probém a vy taky - zřejmě špatně umístěné nože.	0	0.993	1
66	Hlučná je v mezích.	1	0.988	0
67	Takze pri plnem filtru vysavac neshori.	1	0.989	0
68	Koberec prosaje skrz naskrz.	1	0.992	0
69	Ale 4měsíční mimčo se ho neleká.	1	0.996	0
70	Hladký chod koleček a celkově manipulace s přístrojem.	1	0.792	0
71	Nápoje jsou velmi jemné.	1	0.554	0
72	Drahé kapsle oproti jiným.	0	0.997	1
73	Jsem se mylne domnival ze ma i zpetny chod tedy fukci fukaru.	0	0.996	1
74	Výdech vzduchu fouká přímo do obličeje.	0	0.642	1
75	Mixovací nádoby mají každá 3 těsnění - zdroj bakterií a taky problémů v budoucnosti.	0	0.986	1
76	Ke kterému ale leckdy nevede přímá cesta.	1	0.936	0
77	Je to už třetí pračka této značky.	1	0.983	0
78	Což je u nás denní norma na méně než 10 dní.	0	0.995	1
79	Drahe kapsle pokud nejsou v akci.	0	0.710	1
80	Bohužel jako vestavná nabízí méně vnitřního prostoru.	0	0.997	1
81	Ale delongi je lepší.	1	0.993	0
82	Deltová hlavice se dostane opravdu všude.	1	0.517	0
83	Proti jiným výrobcům vyhrály rozměry.	1	0.827	0
84	Len jedna zásuvka na zeleninu.	0	0.944	1
85	Ještě jsem ji nevyužílá.	1	0.957	0
86	Není tam žádná pojistka.	1	0.996	0
